ngram,count,z_score
of new,1,-0.30412378896591885
new data,1,-0.30412378896591885
data on,1,-0.30412378896591885
on word,1,-0.30412378896591885
word linguistic,1,-0.30412378896591885
linguistic research,1,-0.30412378896591885
research the,1,-0.30412378896591885
a standard,1,-0.30412378896591885
standard basis,1,-0.30412378896591885
basis for,1,-0.30412378896591885
for language,1,-0.30412378896591885
language technology,1,-0.30412378896591885
technology statistical,1,-0.30412378896591885
statistical techniques,1,-0.30412378896591885
techniques requiring,1,-0.30412378896591885
requiring very,1,-0.30412378896591885
very teaching,1,-0.30412378896591885
teaching the,1,-0.30412378896591885
a rich,1,-0.30412378896591885
rich source,1,-0.30412378896591885
source of,1,-0.30412378896591885
of examples,1,-0.30412378896591885
examples of,1,-0.30412378896591885
of as,1,-0.30412378896591885
a model,1,-0.30412378896591885
model future,1,-0.30412378896591885
future teiconformant,1,-0.30412378896591885
teiconformant corpora,1,-0.30412378896591885
corpora in,1,-0.30412378896591885
in english,1,-0.30412378896591885
english and,1,-0.30412378896591885
and definitive,1,-0.30412378896591885
definitive information,1,-0.30412378896591885
information on,1,-0.30412378896591885
the sampling,1,-0.30412378896591885
sampling policies,1,-0.30412378896591885
policies material,1,-0.30412378896591885
material included,1,-0.30412378896591885
included in,1,-0.30412378896591885
produced by,1,-0.30412378896591885
by treatment,1,-0.30412378896591885
treatment of,1,-0.30412378896591885
of perceived,1,-0.30412378896591885
perceived errors,1,-0.30412378896591885
errors in,1,-0.30412378896591885
the material,2,-0.013400334805464332
material was,1,-0.30412378896591885
was originally,13,3.1845576609595354
originally prepared,1,-0.30412378896591885
prepared variously,1,-0.30412378896591885
variously by,1,-0.30412378896591885
by copytyping,1,-0.30412378896591885
copytyping canonical,1,-0.30412378896591885
canonical references,1,-0.30412378896591885
references to,1,-0.30412378896591885
bnc should,1,-0.30412378896591885
should be,3,0.2773231193549902
be segments,1,-0.30412378896591885
segments are,1,-0.30412378896591885
are numbered,1,-0.30412378896591885
numbered sequentially,1,-0.30412378896591885
sequentially within,1,-0.30412378896591885
within each,1,-0.30412378896591885
each text,1,-0.30412378896591885
text or,3,0.2773231193549902
or stext,1,-0.30412378896591885
stext david,1,-0.30412378896591885
david lees,1,-0.30412378896591885
lees register,1,-0.30412378896591885
register and,1,-0.30412378896591885
and domain,1,-0.30412378896591885
domain classification,1,-0.30412378896591885
classification register,1,-0.30412378896591885
register classification,1,-0.30412378896591885
classification david,1,-0.30412378896591885
david lee,1,-0.30412378896591885
lee httpmembersxoomcomdavidlee00genreregisterzip,1,-0.30412378896591885
httpmembersxoomcomdavidlee00genreregisterzip bibliographic,1,-0.30412378896591885
bibliographic keywords,1,-0.30412378896591885
keywords from,1,-0.30412378896591885
from copac,1,-0.30412378896591885
copac keyword,1,-0.30412378896591885
keyword classifications,1,-0.30412378896591885
